x,Amplitude
-400000.0,0.020513700852756923
-399919.9919991999,0.020480852105994145
-399839.98399839987,0.020448048265231722
-399759.9759975998,0.020415289490475413
-399679.9679967997,0.02038257577536642
-399599.9599959996,0.020349907781715998
-399519.95199519955,0.02031728506950574
-399439.94399439945,0.0202847082729105
-399359.93599359936,0.020252177285767187
-399279.92799279926,0.020219692487580584
-399199.9199919992,0.020187253826300555
-399119.91199119913,0.02015486176614274
-399039.90399039903,0.020122516345754776
-398959.89598959894,0.020090217486957752
-398879.8879887989,0.020057965805669556
-398799.8799879988,0.020025761299169567
-398719.8719871987,0.019993603923275753
-398639.8639863986,0.019961493909663112
-398559.8559855986,0.019929431739193912
-398479.8479847985,0.019897417519063217
-398399.8399839984,0.019865450916832426
-398319.8319831983,0.019833532778198194
-398239.82398239826,0.019801662737705505
-398159.81598159816,0.019769841456293284
-398079.80798079807,0.019738068642008163
-397999.799979998,0.019706344816473105
-397919.79197919794,0.01967466989529076
-397839.78397839784,0.019643044091325303
-397759.77597759775,0.01961146763305176
-397679.76797679765,0.019579940922716536
-397599.7599759976,0.01954846383687039
-397519.7519751975,0.01951703642601221
-397439.7439743974,0.019485659076509537
-397359.7359735974,0.019454332199796084
-397279.7279727973,0.019423055430344578
-397199.7199719972,0.019391829295081396
-397119.7119711971,0.019360653692792204
-397039.70397039707,0.01932952915352832
-396959.69596959697,0.01929845550872898
-396879.6879687969,0.019267433197129816
-396799.6799679968,0.01923646210776571
-396719.67196719674,0.019205542555813217
-396639.66396639665,0.01917467477321524
-396559.65596559655,0.019143858880417974
-396479.64796479646,0.01911309493169613
-396399.6399639964,0.019082383299839564
-396319.6319631963,0.019051723962696217
-396239.62396239623,0.01902111706143999
-396159.61596159614,0.018990563100271377
-396079.6079607961,0.018960061630544325
-395999.599959996,0.018929613384427637
-395919.5919591959,0.018899218483281487
-395839.5839583958,0.018868876749304
-395759.5759575958,0.018838588752216667
-395679.5679567957,0.01880835408611248
-395599.5599559956,0.018778173445041818
-395519.5519551955,0.01874804690370623
-395439.54395439546,0.01871797431813393
-395359.53595359536,0.01868795618584776
-395279.52795279527,0.01865799265868152
-395199.5199519952,0.01862808358059362
-395119.51195119513,0.018598229421763455
-395039.50395039504,0.018568430272241695
-394959.49594959494,0.01853868615830335
-394879.4879487949,0.018508997275623218
-394799.4799479948,0.018479364034169832
-394719.4719471947,0.018449786414232127
-394639.4639463946,0.0184202645791032
-394559.4559455946,0.018390798711480923
-394479.4479447945,0.018361388707300762
-394399.4399439944,0.018332035361829636
-394319.4319431943,0.018302738286414533
-394239.42394239426,0.018273497549185592
-394159.41594159417,0.018244313853718858
-394079.4079407941,0.018215187005533717
-393999.399939994,0.018186117165464723
-393919.39193919394,0.01815710454702446
-393839.38393839385,0.01812814936788157
-393759.37593759375,0.01809925143318107
-393679.36793679366,0.018070411568416718
-393599.3599359936,0.018041629554013262
-393519.3519351935,0.01801290516486977
-393439.34393439343,0.017984239331451504
-393359.33593359333,0.01795563170982086
-393279.3279327933,0.017927082400044935
-393199.3199319932,0.017898591828173625
-393119.3119311931,0.017870160141065683
-393039.303930393,0.017841787228449025
-392959.295929593,0.01781347352008899
-392879.2879287929,0.017785219076231675
-392799.2799279928,0.017757023887150565
-392719.2719271927,0.017728888497148366
-392639.26392639265,0.01770081270609931
-392559.25592559256,0.017672796769100763
-392479.24792479246,0.017644840870304792
-392399.2399239924,0.017616945210602083
-392319.23192319233,0.01758910972311629
-392239.22392239224,0.017561334755580752
-392159.21592159214,0.017533620465433344
-392079.2079207921,0.017505966999625474
-391999.199919992,0.017478374461109225
-391919.1919191919,0.017450842886196888
-391839.1839183918,0.017423372778095525
-391759.1759175918,0.017395963931672878
-391679.1679167917,0.017368616561500846
-391599.1599159916,0.017341330899688916
-391519.1519151915,0.017314107113786517
-391439.14391439146,0.01728694541414981
-391359.13591359137,0.01725984574344277
-391279.1279127913,0.017232808367171854
-391199.1199119912,0.017205833285196794
-391119.11191119114,0.017178921061971855
-391039.10391039104,0.017152071431492815
-390959.09590959095,0.017125284665846112
-390879.08790879085,0.01709856097172816
-390799.0799079908,0.017071900418274052
-390719.0719071907,0.017045303235908065
-390639.0639063906,0.01701876948552582
-390559.05590559053,0.016992299344595566
-390479.0479047905,0.016965892892690307
-390399.0399039904,0.01693955039051516
-390319.0319031903,0.01691327207284574
-390239.0239023902,0.016887057956884065
-390159.0159015902,0.016860907803210312
-390079.0079007901,0.016834822456460608
-389998.99989999,0.016808801784186683
-389918.9918991899,0.016782845675925213
-389838.98389838985,0.0167569545429067
-389758.97589758976,0.016731128543546612
-389678.96789678966,0.016705367605788727
-389598.9598959896,0.016679672215837417
-389518.95189518953,0.016654042232208264
-389438.94389438943,0.0166284778389875
-389358.93589358934,0.016602979382998775
-389278.9278927893,0.01657754657957801
-389198.9198919892,0.016552179838684816
-389118.9118911891,0.01652687934788127
-389038.903890389,0.016501645236607534
-388958.895889589,0.01647647745312139
-388878.8878887889,0.01645137639458957
-388798.8798879888,0.016426342168157443
-388718.8718871887,0.016401374747959666
-388638.86388638866,0.016376474221779506
-388558.85588558856,0.016351640997575835
-388478.84788478847,0.01632687493515516
-388398.8398839884,0.01630217647219629
-388318.83188318834,0.016277545507707755
-388238.82388238824,0.01625298223394993
-388158.81588158815,0.016228486785704807
-388078.80788078805,0.016204059346796838
-387998.799879988,0.01617969999279689
-387918.7918791879,0.016155408868569227
-387838.7838783878,0.016131186348024462
-387758.77587758773,0.016107032163858292
-387678.7678767877,0.01608294677316736
